Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
locksmith near me,Transactional,40500,"0.82,1.00,0.65,0.65,0.82,0.65,0.65,0.65,0.65,0.65,0.65,0.82",22,10.77,"AI Overview, Reviews, Video, People also ask, Related searches, Ads bottom"
locksmiths near me,Transactional,14800,"0.54,0.67,0.67,0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.81,1.00",20,10.77,"AI Overview, Reviews, Video, People also ask, Knowledge panel, Related searches, Ads bottom"
emergency locksmith,Commercial,6600,"0.42,0.67,0.67,0.67,0.83,0.67,0.67,0.54,0.83,1.00,0.67,0.67",34,9.54,"Reviews, Video, People also ask, Local pack, Related searches"
emergency locksmith near me,Transactional,5400,"0.36,1.00,1.00,0.66,0.66,0.43,0.43,0.43,0.36,0.43,0.43,0.43",39,12.35,"AI Overview, Reviews, Video, People also ask, Knowledge panel, Related searches"
local locksmith,Informational,4400,"0.53,0.82,0.67,0.67,0.82,0.82,0.82,0.82,1.00,0.82,0.82,0.82",24,9.52,"AI Overview, Reviews, Video, People also ask, Local pack, Related searches"
24 hour locksmith,Transactional,1900,"0.65,1.00,0.84,0.65,0.65,0.65,0.65,0.84,0.44,0.65,0.65,0.65",34,9.12,"Reviews, Image pack, Video, People also ask, Local pack, Related searches"
local locksmith near me,Transactional,1900,"0.44,0.66,0.66,0.52,0.66,0.66,0.66,0.66,0.52,0.66,0.66,1.00",22,10.44,"Reviews, Video, People also ask, Local pack, Related searches, Ads top, Ads middle"
upvc door lock replacement,Informational,1600,"0.68,0.68,1.00,0.68,0.84,0.84,0.84,1.00,0.84,0.84,0.68,0.84",14,1.23,"AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Related searches, Popular products"
anti snap locks,Informational,1300,"0.52,0.68,0.68,0.85,0.68,0.85,0.85,0.68,1.00,0.52,0.52,0.68",23,0.56,"AI Overview, Reviews, Video, Video carousel, People also ask, Related searches, Popular products"
front door lock replacement,"Informational, Commercial",1300,"0.62,0.81,0.81,1.00,1.00,1.00,0.81,1.00,0.81,1.00,0.81,1.00",24,2.72,"AI Overview, Video, Short videos, People also ask, Related searches, Popular products"
locksmith prices,Commercial,1300,"0.62,0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.62,0.81,0.62,0.62",10,2.55,"Sitelinks, AI Overview, Reviews, Video, People also ask, Local pack, Related searches, Ads middle"
door lock replacement,Commercial,1000,"0.55,0.36,0.55,0.45,1.00,0.62,0.81,0.45,0.45,0.45,0.36,0.45",28,3.03,"AI Overview, Image pack, Video, Video carousel, People also ask, Local pack, Related searches, Popular products"
lock replacement,Commercial,1000,"0.36,1.00,0.76,1.00,0.76,0.76,0.76,0.55,1.00,0.67,0.76,0.76",35,3.66,"Reviews, Video, Video carousel, People also ask, Local pack, Related searches, Popular products"
change front door lock,Informational,880,"0.62,0.30,1.00,0.36,0.45,0.81,0.36,0.45,0.45,0.36,0.45,0.30",18,2.72,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
window lock replacement,Commercial,880,"0.67,0.76,0.76,1.00,0.76,0.67,0.55,0.55,0.55,0.67,0.67,0.67",18,1.41,"Reviews, Image pack, Video, Video carousel, People also ask, Local pack, Related searches, Popular products"
lock change,Commercial,720,"0.31,0.75,0.75,1.00,0.50,1.00,0.44,0.44,0.44,0.63,0.75,0.50",29,4.78,"Reviews, Image pack, Video, Video carousel, People also ask, Local pack, Related searches"
window lock repair,Commercial,720,"0.59,0.72,0.59,1.00,1.00,0.72,0.59,0.88,0.72,1.00,1.00,0.88",11,2.31,"Reviews, Video, Video carousel, People also ask, Local pack, Related searches"
emergency boarding up,Commercial,590,"0.36,0.67,0.44,0.67,0.81,0.67,1.00,0.81,0.67,0.67,0.67,0.54",6,24.56,"AI Overview, Reviews, Video, Local pack, Related searches"
emergency locksmith service,Commercial,480,"0.54,1.00,0.67,0.67,0.54,0.44,0.36,0.36,0.36,0.44,0.82,0.36",20,11.78,"Reviews, People also ask, Local pack, Related searches"
yale lock replacement,Informational,480,"0.66,1.00,0.66,0.81,0.66,0.66,0.66,0.81,0.54,0.44,0.54,0.66",16,1.25,"Video, Video carousel, People also ask, Related searches, Popular products"
