Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
locksmith coventry,Commercial,1300,"0.62,1.00,1.00,1.00,1.00,1.00,0.81,0.81,1.00,1.00,0.81,0.81",37,14.28,"Video, People also ask, Local pack, Related searches, Ads top, Ads bottom"
locksmith rugby,Commercial,480,"0.66,1.00,0.81,0.66,0.81,1.00,1.00,1.00,0.81,1.00,0.81,0.81",16,8.50,"Reviews, Local pack, Related searches"
coventry locksmith,Commercial,390,"0.66,1.00,1.00,0.81,1.00,0.81,0.66,0.81,0.66,0.28,0.28,0.54",37,14.28,"Reviews, People also ask, Local pack, Related searches"
locksmith leamington spa,Commercial,390,"0.43,0.81,0.81,0.81,1.00,1.00,0.81,0.81,0.81,1.00,0.66,0.66",11,9.45,"Reviews, People also ask, Local pack, Related searches"
locksmith nuneaton,Commercial,390,"0.54,0.81,0.81,1.00,0.81,0.81,0.66,1.00,1.00,1.00,0.81,1.00",13,11.84,"Reviews, Video, People also ask, Local pack, Related searches"
emergency locksmith coventry,Commercial,320,"0.53,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.82,0.35,0.43,0.35",49,16.14,"Reviews, People also ask, Local pack, Related searches"
locksmith warwick,Commercial,320,"0.43,0.81,0.81,1.00,0.81,0.66,0.54,0.54,0.43,0.81,0.43,0.54",7,8.55,"Reviews, People also ask, Local pack, Related searches"
coventry locksmiths,Commercial,260,"0.09,0.44,0.44,0.44,0.36,0.44,0.36,0.29,1.00,0.05,0.15,0.66",37,14.28,"Reviews, People also ask, Local pack, Related searches"
locksmith stratford upon avon,Commercial,210,"0.31,0.77,1.00,0.62,0.62,0.54,0.62,0.77,0.62,0.54,0.38,0.38",6,9.18,"Reviews, People also ask, Local pack, Related searches"
locksmith kenilworth,Commercial,140,"0.42,0.80,1.00,0.80,0.65,0.65,0.42,0.53,0.53,0.42,0.53,0.34",10,10.08,"Reviews, People also ask, Local pack, Related searches"
locksmith bedworth,Commercial,110,"0.21,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.78,0.35,0.78",9,12.15,"Reviews, People also ask, Local pack, Related searches"
locksmiths rugby,Commercial,110,"0.14,0.66,0.66,0.33,0.52,1.00,0.80,0.80,0.80,1.00,0.66,0.80",9,8.50,"Reviews, Local pack, Related searches"
24 hour locksmith coventry,Commercial,90,"0.14,0.78,1.00,1.00,1.00,1.00,1.00,0.64,0.35,0.50,0.50,0.78",35,21.22,"Reviews, Local pack, Related searches"
