keyword,volume,kd_percent,cpc_gbp,database,measured_on,source,notes
locksmith near me,40500,22,10.77,UK,2026-08-28,Semrush phrase batch,
locksmiths near me,14800,20,10.77,UK,2026-08-28,Semrush phrase batch,
emergency locksmith,6600,34,,UK,2026-08-28,Semrush phrase batch,
emergency locksmith near me,5400,39,,UK,2026-08-28,Semrush phrase batch,
24 hour locksmith,1900,34,,UK,2026-08-28,Semrush phrase batch,
24 hour locksmith near me,1300,26,,UK,2026-08-28,Semrush phrase batch,
local locksmith,4400,24,,UK,2026-08-28,Semrush phrase batch,
mobile locksmith,1000,18,,UK,2026-08-28,Semrush phrase batch,
locksmith coventry,1300,37,,UK,2026-08-28,Semrush phrase batch,
emergency locksmith coventry,320,49,,UK,2026-08-28,Semrush phrase batch,
24 hour locksmith coventry,90,35,,UK,2026-08-28,Semrush phrase batch,
locksmith near me coventry,10,0,,UK,2026-08-28,Semrush phrase batch,
locksmith nuneaton,390,13,,UK,2026-08-28,Semrush phrase batch,
emergency locksmith nuneaton,20,,,UK,2026-08-28,Semrush phrase batch,KD unavailable
locksmith rugby,480,16,,UK,2026-08-28,Semrush phrase batch,
emergency locksmith rugby,90,,,UK,2026-08-28,Semrush phrase batch,KD unavailable
locksmith leamington spa,390,11,,UK,2026-08-28,Semrush phrase batch,
emergency locksmith leamington spa,90,,,UK,2026-08-28,Semrush phrase batch,KD unavailable
locksmith warwick,320,7,,UK,2026-08-28,Semrush phrase batch,
locksmith kenilworth,140,10,,UK,2026-08-28,Semrush phrase batch,
locksmith stratford upon avon,210,6,,UK,2026-08-28,Semrush phrase batch,
locksmith bedworth,110,9,,UK,2026-08-28,Semrush phrase batch,
locked out of house,390,16,,UK,2026-08-28,Semrush phrase batch,
house lockout,20,,,UK,2026-08-28,Semrush phrase batch,KD unavailable
locked out locksmith,110,0,,UK,2026-08-28,Semrush phrase batch,
door lock replacement,1000,28,,UK,2026-08-28,Semrush phrase batch,
front door lock replacement,1300,24,,UK,2026-08-28,Semrush phrase batch,
change locks,590,34,,UK,2026-08-28,Semrush phrase batch,
changing locks,210,20,,UK,2026-08-28,Semrush phrase batch,
lock replacement,1000,35,,UK,2026-08-28,Semrush phrase batch,
lock repair,880,15,,UK,2026-08-28,Semrush phrase batch,
door lock repair,720,20,,UK,2026-08-28,Semrush phrase batch,
broken door lock,260,19,,UK,2026-08-28,Semrush phrase batch,
upvc door lock repair,320,7,,UK,2026-08-28,Semrush phrase batch,
upvc door lock replacement,1600,14,,UK,2026-08-28,Semrush phrase batch,
upvc lock repair,170,4,,UK,2026-08-28,Semrush phrase batch,
multipoint lock repair,30,,,UK,2026-08-28,Semrush phrase batch,KD unavailable
euro cylinder replacement,10,,,UK,2026-08-28,Semrush phrase batch,KD unavailable
locksmith prices,1300,10,,UK,2026-08-28,Semrush phrase batch,
locksmith cost,1000,16,,UK,2026-08-28,Semrush phrase batch,
emergency locksmith cost,210,19,,UK,2026-08-28,Semrush phrase batch,
locksmith call out fee,320,16,,UK,2026-08-28,Semrush phrase batch,
locksmith hourly rate,40,,,UK,2026-08-28,Semrush phrase batch,KD unavailable
anti snap locks,1300,23,,UK,2026-08-28,Semrush phrase batch,
anti snap lock,590,12,,UK,2026-08-28,Semrush phrase batch,
3 star lock,90,24,,UK,2026-08-28,Semrush phrase batch,
ts007 lock,260,11,,UK,2026-08-28,Semrush phrase batch,
bs3621 lock,320,8,,UK,2026-08-28,Semrush phrase batch,
british standard locks,170,12,,UK,2026-08-28,Semrush phrase batch,
burglary repairs,210,9,,UK,2026-08-28,Semrush phrase batch,
burglary repair locksmith,0,,,UK,2026-08-28,Semrush phrase batch,Explicit measured zero
boarding up services,260,7,,UK,2026-08-28,Semrush phrase batch,
emergency boarding up,590,6,,UK,2026-08-28,Semrush phrase batch,
broken key in lock,210,18,,UK,2026-08-28,Semrush phrase batch,
key snapped in lock,590,19,,UK,2026-08-28,Semrush phrase batch,
lost house keys,110,21,,UK,2026-08-28,Semrush phrase batch,
home security locksmith,50,,,UK,2026-08-28,Semrush phrase batch,KD unavailable
lock upgrade,10,,,UK,2026-08-28,Semrush phrase batch,KD unavailable
